10	400	600	86.8
10	400	650	82.4
10	400	700	86.7
10	400	750	83.5
10	400	800	93.4
15	400	600	85.2
15	400	650	94.8
15	400	700	83.1
15	400	750	77.9
15	400	800	89.6
20	400	600	89.9
20	400	650	83.7
20	400	700	71.9
20	400	750	72.1
20	400	800	80
10	450	600	77.4
10	450	650	74.5
10	450	700	87.1
10	450	750	71.9
10	450	800	84.1
15	450	600	87.5
15	450	650	82.7
15	450	700	78.3
15	450	750	90.1
15	450	800	65.5
20	450	600	72.4
20	450	650	76.6
20	450	700	66.7
20	450	750	66.7
20	450	800	77.1
10	500	600	76.7
10	500	650	86.1
10	500	700	72.7
10	500	750	77.8
10	500	800	83.5
15	500	600	78.8
15	500	650	63.9
15	500	700	70.4
15	500	750	77.2
15	500	800	81.2
20	500	600	73.7
20	500	650	81.6
20	500	700	84.2
20	500	750	84.9
20	500	800	79.8
10	550	600	75.7
10	550	650	80.5
10	550	700	72.9
10	550	750	65.7
10	550	800	89
15	550	600	75.3
15	550	650	90.9
15	550	700	91.2
15	550	750	78.4
15	550	800	86.4
20	550	600	83.8
20	550	650	80.1
20	550	700	69.7
20	550	750	88.3
20	550	800	75.4
10	600	600	75.9
10	600	650	86.2
10	600	700	80.7
10	600	750	93.3
10	600	800	68.6
15	600	600	77.2
15	600	650	71.6
15	600	700	93.9
15	600	750	76.4
15	600	800	90.2
20	600	600	90.8
20	600	650	93.4
20	600	700	74.8
20	600	750	78.5
20	600	800	89.5
